Species,Trait,Value
Oenothera biennis,Leaf area,112.9
Oenothera biennis,Leaf area,142
Oenothera biennis,Leaf area,142
Onoclea sensibilis,Leaf area,6.35
Onoclea sensibilis,Leaf area,9.2
Onoclea sensibilis,Leaf area,12.25
Onoclea sensibilis,Leaf area,12.38
Onoclea sensibilis,Leaf area,12.99
Onoclea sensibilis,Leaf area,14.04
Onoclea sensibilis,Leaf area,15.17
Onoclea sensibilis,Leaf area,18.84
Onoclea sensibilis,Leaf area,20.38
Onoclea sensibilis,Leaf area,20.42
Onoclea sensibilis,Leaf area,22.91
Onoclea sensibilis,Leaf area,25.14
Onoclea sensibilis,Leaf area,25.32
Onoclea sensibilis,Leaf area,25.45
Onoclea sensibilis,Leaf area,25.84
Onoclea sensibilis,Leaf area,27.7
Onoclea sensibilis,Leaf area,28.2
Onoclea sensibilis,Leaf area,28.45
Onoclea sensibilis,Leaf area,30.17
Onoclea sensibilis,Leaf area,30.39
Onoclea sensibilis,Leaf area,30.4
Onoclea sensibilis,Leaf area,31.17
Onoclea sensibilis,Leaf area,31.73
Onoclea sensibilis,Leaf area,32.13
Onoclea sensibilis,Leaf area,33
Onoclea sensibilis,Leaf area,34.76
Onoclea sensibilis,Leaf area,35.89
Onoclea sensibilis,Leaf area,36.08
Onoclea sensibilis,Leaf area,36.37
Onoclea sensibilis,Leaf area,37.67
Onoclea sensibilis,Leaf area,38.13
Onoclea sensibilis,Leaf area,51.63
Onoclea sensibilis,Leaf area,257
Onoclea sensibilis,Leaf area,285.25
Onoclea sensibilis,Leaf area,360.39
Onoclea sensibilis,Leaf area,428.47
Onoclea sensibilis,Leaf area,479.72
Osmunda regalis,Leaf area,1607.3276
Osmunda regalis,Leaf area,1617.4019
Osmunda regalis,Leaf area,1617.4019
Osmunda regalis,Leaf area,1671.4238
Osmunda regalis,Leaf area,1675.3019
Osmunda regalis,Leaf area,1675.3019
Ostrya virginiana,Leaf area,16.8624
Ostrya virginiana,Leaf area,18.037
Ostrya virginiana,Leaf area,20.5073
Ostrya virginiana,Leaf area,21.4946
Ostrya virginiana,Leaf area,22.0721
Ostrya virginiana,Leaf area,30.9034
Ostrya virginiana,Leaf area,31.1648
Ostrya virginiana,Leaf area,32.8507
Ostrya virginiana,Leaf area,35.1531
Ostrya virginiana,Leaf area,52.5424
Oxalis stricta,Leaf area,1.4
Oxalis stricta,Leaf area,1.4
Oxalis stricta,Leaf area,6.6
Oxalis stricta,Leaf area,6.66
Oxalis stricta,Leaf area,10.6
Oxalis stricta,Leaf area,12.24
Oxalis stricta,Leaf area,13.13
Panicum capillare,Leaf area,12.27
Panicum capillare,Leaf area,17.44
Panicum capillare,Leaf area,20.41
Panicum capillare,Leaf area,25.72
Panicum capillare,Leaf area,32.51
Panicum capillare,Leaf area,66.44
Panicum capillare,Leaf area,67.75
Panicum capillare,Leaf area,69.98
Panicum capillare,Leaf area,70.36
Panicum capillare,Leaf area,73.85
Parthenocissus quinquefolia,Leaf area,24.65029
Parthenocissus quinquefolia,Leaf area,26.741105
Parthenocissus quinquefolia,Leaf area,27.464
Parthenocissus quinquefolia,Leaf area,28.06
Parthenocissus quinquefolia,Leaf area,31.341835
Parthenocissus quinquefolia,Leaf area,32.35617
Parthenocissus quinquefolia,Leaf area,37.83302
Parthenocissus quinquefolia,Leaf area,39.01775
Parthenocissus quinquefolia,Leaf area,42.91419
Parthenocissus quinquefolia,Leaf area,45.06672
Parthenocissus quinquefolia,Leaf area,53.485
Parthenocissus quinquefolia,Leaf area,56.49954
Parthenocissus quinquefolia,Leaf area,59.68133
Parthenocissus quinquefolia,Leaf area,59.84801
Parthenocissus quinquefolia,Leaf area,60.07419
Parthenocissus quinquefolia,Leaf area,60.27821
Parthenocissus quinquefolia,Leaf area,60.42616
Parthenocissus quinquefolia,Leaf area,60.55877
Parthenocissus quinquefolia,Leaf area,62.75539
Parthenocissus quinquefolia,Leaf area,70.04412
Parthenocissus quinquefolia,Leaf area,71.42399
Parthenocissus quinquefolia,Leaf area,75.131405
Parthenocissus quinquefolia,Leaf area,97.96009
Parthenocissus quinquefolia,Leaf area,108.94855
Parthenocissus quinquefolia,Leaf area,134.05
Pastinaca sativa,Leaf area,79.5
Pastinaca sativa,Leaf area,218.79
Penthorum sedoides,Leaf area,4.33
Penthorum sedoides,Leaf area,5.26
Penthorum sedoides,Leaf area,5.9
Penthorum sedoides,Leaf area,6
Phalaris arundinacea,Leaf area,5.183166667
Phalaris arundinacea,Leaf area,9.723727273
Phalaris arundinacea,Leaf area,11.83591667
Phalaris arundinacea,Leaf area,40.37
Phalaris arundinacea,Leaf area,40.45
Phalaris arundinacea,Leaf area,42.69
Phalaris arundinacea,Leaf area,45.1
Phalaris arundinacea,Leaf area,49.49
Phalaris arundinacea,Leaf area,33.66
Phegopteris connectilis,Leaf area,68.0371
Phegopteris connectilis,Leaf area,71.7957
Phegopteris connectilis,Leaf area,72.52
Phegopteris connectilis,Leaf area,72.52
Phegopteris connectilis,Leaf area,75.2
Phegopteris connectilis,Leaf area,75.2
Phleum pratense,Leaf area,1.62
Phleum pratense,Leaf area,2.34
Phleum pratense,Leaf area,2.36
Phleum pratense,Leaf area,2.6
Phleum pratense,Leaf area,2.63
Phleum pratense,Leaf area,2.96
Phleum pratense,Leaf area,2.99
Phleum pratense,Leaf area,3.03
Phleum pratense,Leaf area,3.07
Phleum pratense,Leaf area,3.18
Phleum pratense,Leaf area,3.332222222
Phleum pratense,Leaf area,3.35
Phleum pratense,Leaf area,3.36
Phleum pratense,Leaf area,3.37
Phleum pratense,Leaf area,3.45
Phleum pratense,Leaf area,3.47
Phleum pratense,Leaf area,3.61
Phleum pratense,Leaf area,3.76
Phleum pratense,Leaf area,3.76
Phleum pratense,Leaf area,3.92
Phleum pratense,Leaf area,4.21
Phleum pratense,Leaf area,4.28
Phleum pratense,Leaf area,4.28
Phleum pratense,Leaf area,4.3
Phleum pratense,Leaf area,4.39
Phleum pratense,Leaf area,4.41
Phleum pratense,Leaf area,4.49
Phleum pratense,Leaf area,4.79
Phleum pratense,Leaf area,4.83
Phleum pratense,Leaf area,5.06
Phleum pratense,Leaf area,5.13
Phleum pratense,Leaf area,5.18
Phleum pratense,Leaf area,5.24
Phleum pratense,Leaf area,5.3
Phleum pratense,Leaf area,5.48
Phleum pratense,Leaf area,5.52
Phleum pratense,Leaf area,5.56
Phleum pratense,Leaf area,5.59
Phleum pratense,Leaf area,5.72
Phleum pratense,Leaf area,5.96
Phleum pratense,Leaf area,6.26
Phleum pratense,Leaf area,6.33
Phleum pratense,Leaf area,6.35
Phleum pratense,Leaf area,6.37
Phleum pratense,Leaf area,6.38
Phleum pratense,Leaf area,6.43
Phleum pratense,Leaf area,6.6
Phleum pratense,Leaf area,6.89
Phleum pratense,Leaf area,6.9
Phleum pratense,Leaf area,6.91
Phleum pratense,Leaf area,7.02
Phleum pratense,Leaf area,7.14
Phleum pratense,Leaf area,7.52
Phleum pratense,Leaf area,7.64
Phleum pratense,Leaf area,7.71
Phleum pratense,Leaf area,7.72
Phleum pratense,Leaf area,8.1
Phleum pratense,Leaf area,8.11
Phleum pratense,Leaf area,8.11
Phleum pratense,Leaf area,8.16
Phleum pratense,Leaf area,8.3
Phleum pratense,Leaf area,8.72
Phleum pratense,Leaf area,8.72
Phleum pratense,Leaf area,9.28
Phleum pratense,Leaf area,9.58
Phleum pratense,Leaf area,11.42
Phleum pratense,Leaf area,13.55
Phleum pratense,Leaf area,15.65
Phleum pratense,Leaf area,17.63
Phleum pratense,Leaf area,20.49
Phleum pratense,Leaf area,24.34
Phleum pratense,Leaf area,28.04
Phleum pratense,Leaf area,37.91
Phleum pratense,Leaf area,1.38187
Phleum pratense,Leaf area,1.62
Phleum pratense,Leaf area,1.62
Phleum pratense,Leaf area,1.69
Phleum pratense,Leaf area,2.51
Phleum pratense,Leaf area,2.51
Phleum pratense,Leaf area,4.45
Phleum pratense,Leaf area,5.32
Phleum pratense,Leaf area,7.21
Pinus strobus,Leaf area,2.7
Pinus strobus,Leaf area,2.7
Plantago lanceolata,Leaf area,7.82
Plantago lanceolata,Leaf area,7.87
Plantago lanceolata,Leaf area,8.41
Plantago lanceolata,Leaf area,8.46
Plantago lanceolata,Leaf area,9.27
Plantago lanceolata,Leaf area,9.32
Plantago lanceolata,Leaf area,10.34
Plantago lanceolata,Leaf area,11.52
Plantago lanceolata,Leaf area,12.191
Plantago lanceolata,Leaf area,12.6
Plantago lanceolata,Leaf area,12.67
Plantago lanceolata,Leaf area,13.36
Plantago lanceolata,Leaf area,15.51
Plantago lanceolata,Leaf area,16.31
Plantago lanceolata,Leaf area,16.7
Plantago lanceolata,Leaf area,21.50028571
Plantago lanceolata,Leaf area,24.9073
Plantago lanceolata,Leaf area,51.8265
Plantago lanceolata,Leaf area,3.8366
Plantago lanceolata,Leaf area,23.78
Plantago lanceolata,Leaf area,27.56
Plantago major,Leaf area,9.87
Plantago major,Leaf area,9.87
Plantago major,Leaf area,12.56
Plantago major,Leaf area,82.36
Plantago major,Leaf area,82.73
Plantago major,Leaf area,84.05
Plantago major,Leaf area,114.23
Plantago major,Leaf area,119.13
Plantago major,Leaf area,3.6625
Plantago major,Leaf area,3.6625
Plantago major,Leaf area,3.7385
Plantago major,Leaf area,3.88
Plantago major,Leaf area,3.88
Plantago major,Leaf area,3.9415
Plantago major,Leaf area,309.68
Platanus occidentalis,Leaf area,169.35
Polygonum amphibium,Leaf area,25.122
Polygonum amphibium,Leaf area,25.285
Polygonum amphibium,Leaf area,25.285
Polygonum amphibium,Leaf area,27.66
Polygonum amphibium,Leaf area,30.41
Polygonum amphibium,Leaf area,31.64
Polygonum hydropiper,Leaf area,18.42
Polygonum hydropiper,Leaf area,27.44
Polygonum hydropiper,Leaf area,27.85
Polygonum hydropiper,Leaf area,28
Polygonum hydropiper,Leaf area,29.92
Polygonum hydropiper,Leaf area,8.81
Polygonum hydropiper,Leaf area,16.120676
Polygonum hydropiper,Leaf area,17.3
Polygonum lapathifolium,Leaf area,31.22598
Polygonum lapathifolium,Leaf area,34.19
Polygonum lapathifolium,Leaf area,38.3226
Polygonum lapathifolium,Leaf area,50.61
Polygonum lapathifolium,Leaf area,80
Polygonum persicaria,Leaf area,1.79
Polygonum persicaria,Leaf area,1.79
Polygonum persicaria,Leaf area,11.57
Polygonum persicaria,Leaf area,17.35
Polygonum persicaria,Leaf area,20.34
Polygonum persicaria,Leaf area,41.13
Polygonum persicaria,Leaf area,56.38
Polygonum persicaria,Leaf area,13.22
Polygonum persicaria,Leaf area,33.73
Polygonum sagittatum,Leaf area,3.3705
Polygonum sagittatum,Leaf area,3.5352
Polygonum sagittatum,Leaf area,4.4464
Polygonum sagittatum,Leaf area,4.6587
Polygonum sagittatum,Leaf area,5.1893
Polygonum sagittatum,Leaf area,6.4922
Polygonum sagittatum,Leaf area,8.1811
Polygonum sagittatum,Leaf area,8.3001
Polygonum sagittatum,Leaf area,8.6514
Polygonum sagittatum,Leaf area,11.74
Polygonum sagittatum,Leaf area,12.32
Polygonum sagittatum,Leaf area,12.91
Polygonum sagittatum,Leaf area,18.93
Polygonum sagittatum,Leaf area,20.06
Polygonum sagittatum,Leaf area,21.27
Populus deltoides,Leaf area,84
Populus tremuloides,Leaf area,8.81
Populus tremuloides,Leaf area,10.4
Populus tremuloides,Leaf area,11.24
Populus tremuloides,Leaf area,12.45
Populus tremuloides,Leaf area,12.6
Populus tremuloides,Leaf area,13.37
Populus tremuloides,Leaf area,13.51
Populus tremuloides,Leaf area,13.69
Populus tremuloides,Leaf area,13.74
Populus tremuloides,Leaf area,17.71
Populus tremuloides,Leaf area,21.1045
Populus tremuloides,Leaf area,21.8825
Populus tremuloides,Leaf area,22.8917
Populus tremuloides,Leaf area,26.5504
Populus tremuloides,Leaf area,28.7009
Populus tremuloides,Leaf area,30.6862
Populus tremuloides,Leaf area,33.1702
Populus tremuloides,Leaf area,36.9
Populus tremuloides,Leaf area,37.06
Populus tremuloides,Leaf area,37.2587
Populus tremuloides,Leaf area,48.5724
Populus tremuloides,Leaf area,60
Potentilla recta,Leaf area,6.45
Potentilla recta,Leaf area,7.1
Potentilla recta,Leaf area,11.5
Potentilla recta,Leaf area,12.63
Potentilla recta,Leaf area,13.54
Potentilla recta,Leaf area,13.92
Potentilla recta,Leaf area,14.47
Potentilla recta,Leaf area,16.68
Potentilla recta,Leaf area,13.109
Potentilla recta,Leaf area,13.982
Potentilla recta,Leaf area,15.01
Potentilla recta,Leaf area,15.01
Potentilla recta,Leaf area,16.27
Potentilla recta,Leaf area,16.27
Potentilla recta,Leaf area,17.156
Potentilla recta,Leaf area,17.28
Potentilla recta,Leaf area,17.28
Potentilla recta,Leaf area,18.173
Potentilla recta,Leaf area,18.32
Potentilla recta,Leaf area,18.32
Potentilla recta,Leaf area,26.93
Potentilla recta,Leaf area,62.34
Potentilla simplex,Leaf area,5.95
Potentilla simplex,Leaf area,5.95
Prenanthes purpurea,Leaf area,29.4525
Prenanthes purpurea,Leaf area,29.4525
Prenanthes purpurea,Leaf area,29.599
Prunella vulgaris,Leaf area,2.98
Prunella vulgaris,Leaf area,3.26
Prunella vulgaris,Leaf area,5.09
Prunella vulgaris,Leaf area,5.6
Prunella vulgaris,Leaf area,8.49
Prunella vulgaris,Leaf area,8.49
Prunella vulgaris,Leaf area,1.22326
Prunella vulgaris,Leaf area,4.14
Prunella vulgaris,Leaf area,7.2
Prunella vulgaris,Leaf area,8.92
Prunus serotina,Leaf area,3.15
Prunus serotina,Leaf area,8.597356667
Prunus serotina,Leaf area,12.13395
Prunus serotina,Leaf area,12.62088
Prunus serotina,Leaf area,13.512315
Prunus serotina,Leaf area,14.167
Prunus serotina,Leaf area,14.167
Prunus serotina,Leaf area,17.239785
Prunus serotina,Leaf area,17.57325667
Prunus serotina,Leaf area,17.583175
Prunus serotina,Leaf area,19.71363667
Prunus serotina,Leaf area,24.2425
Prunus serotina,Leaf area,25.99133333
Prunus serotina,Leaf area,26.68518
Prunus serotina,Leaf area,27.615605
Prunus serotina,Leaf area,32.5575
Prunus serotina,Leaf area,32.5575
Prunus serotina,Leaf area,33.333
Prunus serotina,Leaf area,33.37
Prunus serotina,Leaf area,33.37
Prunus serotina,Leaf area,34.259
Prunus serotina,Leaf area,35.96
Prunus serotina,Leaf area,35.96
Prunus serotina,Leaf area,35.9883
Prunus virginiana,Leaf area,2.904
Prunus virginiana,Leaf area,2.9875
Prunus virginiana,Leaf area,3.43352
Prunus virginiana,Leaf area,10.24833333
Prunus virginiana,Leaf area,10.4273525
Prunus virginiana,Leaf area,12.685
Prunus virginiana,Leaf area,13.40951
Prunus virginiana,Leaf area,14.0741875
Prunus virginiana,Leaf area,14.68666667
Prunus virginiana,Leaf area,18.16618667
Prunus virginiana,Leaf area,18.61511
Prunus virginiana,Leaf area,19.51795
Quercus macrocarpa,Leaf area,5.158
Quercus macrocarpa,Leaf area,23.45947
Quercus macrocarpa,Leaf area,35.624
Quercus macrocarpa,Leaf area,35.7353
Quercus macrocarpa,Leaf area,36.29478
Quercus macrocarpa,Leaf area,40.648465
Quercus macrocarpa,Leaf area,48.345
Quercus macrocarpa,Leaf area,49.169
Quercus macrocarpa,Leaf area,52.96789
Quercus macrocarpa,Leaf area,53.32
Quercus macrocarpa,Leaf area,53.53189
Quercus macrocarpa,Leaf area,56.745475
Quercus macrocarpa,Leaf area,58.18613
Quercus macrocarpa,Leaf area,60.27657
Quercus macrocarpa,Leaf area,62.471
Quercus macrocarpa,Leaf area,71.862
Quercus macrocarpa,Leaf area,82.45249
Quercus macrocarpa,Leaf area,92.27447
Quercus macrocarpa,Leaf area,103.241
Quercus macrocarpa,Leaf area,109.4642
Quercus macrocarpa,Leaf area,113.138
Quercus macrocarpa,Leaf area,190
Quercus rubra,Leaf area,50.84866667
Quercus rubra,Leaf area,58.8
Quercus rubra,Leaf area,75.1
Quercus rubra,Leaf area,83.66
Quercus rubra,Leaf area,96.95
Quercus rubra,Leaf area,103
Quercus rubra,Leaf area,109.4032
Quercus rubra,Leaf area,126.318
Quercus rubra,Leaf area,128
Quercus rubra,Leaf area,27.69
Quercus rubra,Leaf area,29.24945932
Quercus rubra,Leaf area,36.44
Quercus rubra,Leaf area,39.64
Quercus rubra,Leaf area,48.02
Quercus rubra,Leaf area,49.6
Quercus rubra,Leaf area,50.11
Quercus rubra,Leaf area,50.32
Quercus rubra,Leaf area,50.6
Quercus rubra,Leaf area,50.849
Quercus rubra,Leaf area,50.849
Quercus rubra,Leaf area,51.15
Quercus rubra,Leaf area,57.31
Quercus rubra,Leaf area,57.77
Quercus rubra,Leaf area,58.53
Quercus rubra,Leaf area,59.42
Quercus rubra,Leaf area,61.71
Quercus rubra,Leaf area,64.42
Rhamnus cathartica,Leaf area,2.65
Rhamnus cathartica,Leaf area,6.5
Rhamnus cathartica,Leaf area,6.5
Rhamnus cathartica,Leaf area,6.776
Rhamnus cathartica,Leaf area,6.776
Rhamnus cathartica,Leaf area,6.951
Rhamnus cathartica,Leaf area,1.60245614
Rhamnus cathartica,Leaf area,2.8
Rhamnus cathartica,Leaf area,3.93
Rhamnus cathartica,Leaf area,4.17
Rhamnus cathartica,Leaf area,4.3
Rhamnus cathartica,Leaf area,4.82
Rhamnus cathartica,Leaf area,4.96
Rhamnus cathartica,Leaf area,5.4
Rhamnus cathartica,Leaf area,5.43
Rhamnus cathartica,Leaf area,5.61
Rhamnus cathartica,Leaf area,5.96
Rhamnus cathartica,Leaf area,6.04
Rhamnus cathartica,Leaf area,6.23
Rhamnus cathartica,Leaf area,6.42
Rhamnus cathartica,Leaf area,6.45
Rhamnus cathartica,Leaf area,6.48
Rhamnus cathartica,Leaf area,6.7
Rhamnus cathartica,Leaf area,6.93
Rhamnus cathartica,Leaf area,7
Rhamnus cathartica,Leaf area,7.03
Rhamnus cathartica,Leaf area,7.51
Rhamnus cathartica,Leaf area,7.64
Rhamnus cathartica,Leaf area,7.95
Rhamnus cathartica,Leaf area,8.36
Rhamnus cathartica,Leaf area,8.36
Rhamnus cathartica,Leaf area,8.74
Rhamnus cathartica,Leaf area,8.98
Rhamnus cathartica,Leaf area,9.52
Rhamnus cathartica,Leaf area,9.99
Rhamnus cathartica,Leaf area,12.3
Rhamnus cathartica,Leaf area,12.52
Rhus typhina,Leaf area,7.7027
Rhus typhina,Leaf area,8.2202
Rhus typhina,Leaf area,11.233
Rhus typhina,Leaf area,11.8165
Rhus typhina,Leaf area,12.2495
Rhus typhina,Leaf area,12.4807
Rhus typhina,Leaf area,12.6201
Rhus typhina,Leaf area,13.4165
Rhus typhina,Leaf area,13.7431
Rhus typhina,Leaf area,16.6532
Ribes rubrum,Leaf area,21.17211111
Ribes rubrum,Leaf area,29.1
Ribes rubrum,Leaf area,29.1
Ribes rubrum,Leaf area,60.3495
Ribes rubrum,Leaf area,61.185
Ribes rubrum,Leaf area,61.7275
Ribes rubrum,Leaf area,61.7275
Ribes rubrum,Leaf area,62.3975
Ribes rubrum,Leaf area,62.3975
Robinia pseudoacacia,Leaf area,4.39
Robinia pseudoacacia,Leaf area,9.620666667
Robinia pseudoacacia,Leaf area,62.77
Rosa multiflora,Leaf area,55.49
Rosa multiflora,Leaf area,55.49
Rosa multiflora,Leaf area,56.98
Rubus idaeus,Leaf area,3.4
Rubus idaeus,Leaf area,11.37
Rubus idaeus,Leaf area,11.5779
Rubus idaeus,Leaf area,11.7944
Rubus idaeus,Leaf area,12
Rubus idaeus,Leaf area,13.244
Rubus idaeus,Leaf area,13.2697
Rubus idaeus,Leaf area,13.56
Rubus idaeus,Leaf area,14.23
Rubus idaeus,Leaf area,14.25
Rubus idaeus,Leaf area,14.26
Rubus idaeus,Leaf area,14.6972
Rubus idaeus,Leaf area,14.87
Rubus idaeus,Leaf area,15.13
Rubus idaeus,Leaf area,18.3596
Rubus idaeus,Leaf area,18.7302
Rubus idaeus,Leaf area,18.8623
Rubus idaeus,Leaf area,19.7174
Rubus idaeus,Leaf area,20.93
Rubus idaeus,Leaf area,21.3284
Rubus idaeus,Leaf area,81.4338127
Rubus idaeus,Leaf area,180.5
Rubus idaeus,Leaf area,184.59
Rubus idaeus,Leaf area,220.23
Rubus idaeus,Leaf area,230.9
Rubus idaeus,Leaf area,250.9
Rudbeckia hirta,Leaf area,1.3028
Rudbeckia hirta,Leaf area,1.3284
Rudbeckia hirta,Leaf area,1.4529
Rudbeckia hirta,Leaf area,1.6798
Rudbeckia hirta,Leaf area,2.2982
Rudbeckia hirta,Leaf area,3.0118
Rudbeckia hirta,Leaf area,3.356
Rudbeckia hirta,Leaf area,4.4245
Rudbeckia hirta,Leaf area,4.6038
Rudbeckia hirta,Leaf area,5.49
Rudbeckia hirta,Leaf area,5.49
Rudbeckia hirta,Leaf area,5.5443
Rumex crispus,Leaf area,40.13
Rumex crispus,Leaf area,85.67
Rumex obtusifolius,Leaf area,134.94
Rumex obtusifolius,Leaf area,134.94
Rumex obtusifolius,Leaf area,134.94
Rumex obtusifolius,Leaf area,153.8535
Rumex obtusifolius,Leaf area,167.4375
Rumex obtusifolius,Leaf area,167.4375
Rumex obtusifolius,Leaf area,389.27
Rumex obtusifolius,Leaf area,741.1
Salix alba,Leaf area,5.3
Salix alba,Leaf area,5.3
Salix alba,Leaf area,6.7
Salix alba,Leaf area,6.7
Salix alba,Leaf area,7.6425
Salix alba,Leaf area,7.6425
Salix alba,Leaf area,7.6663
Salix alba,Leaf area,8
Salix alba,Leaf area,8
Salix alba,Leaf area,8.3417
Salix pentandra,Leaf area,9.6
Salix pentandra,Leaf area,9.6
Salix pentandra,Leaf area,10.11
Salix pentandra,Leaf area,10.11
Salix pentandra,Leaf area,10.6363
Sambucus nigra,Leaf area,6
Sambucus nigra,Leaf area,10.6825
Sambucus nigra,Leaf area,22.993891
Sambucus nigra,Leaf area,23.911889
Sambucus nigra,Leaf area,30.7035214
Sambucus nigra,Leaf area,53.28285714
Sambucus nigra,Leaf area,64.08
Sambucus nigra,Leaf area,90.625
Sambucus nigra,Leaf area,107.30125
Sambucus nigra,Leaf area,144.7916667
Sambucus nigra,Leaf area,4.12
Sambucus nigra,Leaf area,5.1
Sambucus nigra,Leaf area,5.14
Sambucus nigra,Leaf area,5.245393939
Sambucus nigra,Leaf area,5.29
Sambucus nigra,Leaf area,6.25
Sambucus nigra,Leaf area,6.59
Sambucus nigra,Leaf area,6.69
Sambucus nigra,Leaf area,6.7
Sambucus nigra,Leaf area,6.79
Sambucus nigra,Leaf area,7.25
Sambucus nigra,Leaf area,7.687
Sambucus nigra,Leaf area,7.687
Sambucus nigra,Leaf area,7.75
Sambucus nigra,Leaf area,7.82
Sambucus nigra,Leaf area,8.07
Sambucus nigra,Leaf area,8.07
Sambucus nigra,Leaf area,8.1
Sambucus nigra,Leaf area,8.23
Sambucus nigra,Leaf area,8.31
Sambucus nigra,Leaf area,8.42
Sambucus nigra,Leaf area,8.45
Sambucus nigra,Leaf area,8.53
Sambucus nigra,Leaf area,8.59
Sambucus nigra,Leaf area,8.74
Sambucus nigra,Leaf area,8.95
Sambucus nigra,Leaf area,9.07
Sambucus nigra,Leaf area,9.08
Sambucus nigra,Leaf area,9.28
Sambucus nigra,Leaf area,9.38
Sambucus nigra,Leaf area,9.86
Sambucus nigra,Leaf area,10.05
Sambucus nigra,Leaf area,10.33
Sambucus nigra,Leaf area,10.407
Sambucus nigra,Leaf area,10.407
Sambucus nigra,Leaf area,10.61
Sambucus nigra,Leaf area,11.17
Sambucus nigra,Leaf area,11.24
Sambucus nigra,Leaf area,11.25
Sambucus nigra,Leaf area,11.44
Sambucus nigra,Leaf area,11.46
Sambucus nigra,Leaf area,11.639
Sambucus nigra,Leaf area,11.639
Sambucus nigra,Leaf area,11.81
Sambucus nigra,Leaf area,12.09
Sambucus nigra,Leaf area,12.31
Sambucus nigra,Leaf area,12.32
Sambucus nigra,Leaf area,12.4
